rbd,nombre,región,comuna,cod_edu,rama_edu,total.lectura,promedio.lectura,mediana.lectura,desviación.lectura,total.matemática,promedio.matemática,mediana.matemática,desviación.matemática,total.historia,promedio.historia,mediana.historia,desviación.historia,total.ciencias,promedio.ciencias,mediana.ciencias,desviación.ciencias,total.nem,promedio.nem,mediana.nem,desviación.nem,total.ranking,promedio.ranking,mediana.ranking,desviación.ranking,tipo.dependencia,nivel.socioeconómico,ruralidad
8902,COLEGIO CORDILLERA DE LAS CONDES,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,66,659.8,660,77.89,66,737.1,738,77.3,44,669.1,665,91.04,33,695.9,698,84.6,66,714.2,747.5,94.52,66,724.5,759,101.63,Particular pagado,Alto,Urbano
24979,COLEGIO LOS ALERCES,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,68,636.6,623,85.26,68,726.2,738,81.25,54,668.2,682,84.28,36,655.5,684,90.88,68,710.2,722,83.57,68,715.1,723.5,87.9,Particular pagado,Alto,Urbano
8862,COLEGIO TABANCURA,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,104,658.5,667,80.05,104,715.2,713,78.23,82,681.3,691,72.56,58,656.9,674.5,93.21,105,683.5,709,99.53,105,689.2,713,105.05,Particular pagado,Alto,Urbano
24624,COLEGIO TABOR Y NAZARETH,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,122,645.7,653,81.3,122,715.2,711,67.7,85,661.1,658,72.09,65,661.4,659,98.98,123,748,757,56.31,123,760,769,65.55,Particular pagado,Alto,Urbano
8873,COLEGIO VILLA MARIA ACADEMY,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,123,661.7,667,82.4,123,713.9,709,74.86,89,662,668,77.62,64,692.3,713.5,90.76,123,740.2,757,66.56,123,746,763,70.83,Particular pagado,Alto,Urbano
12036,COLEGIO PINARES,REGION DEL BIOBIO,CHIGUAYANTE,310,CIENTÍFICO-HUMANISTA DIURNO,21,632.4,647,63.41,21,713.2,723,65.86,11,642.8,651,88.78,14,697.8,702.5,74.29,21,738.6,742,55.46,21,750.7,753,64.78,Particular pagado,Alto,Urbano
8871,COLEGIO LOS ANDES DE VITACURA,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,62,660.9,675,84.46,62,711,723,82.87,56,661.9,666.5,88.61,37,681.8,697,81.74,64,738.5,760.5,78.43,64,746,768,83.74,Particular pagado,Alto,Urbano
9046,COLEGIO THE GRANGE SCHOOL,REGION METROPOLITANA DE SANTIAGO,LA REINA,310,CIENTÍFICO-HUMANISTA DIURNO,123,653.9,653,81.83,123,707.9,713,74.24,71,661.3,668,67.61,68,701,714,85.08,125,715.2,735,82.33,125,717.3,737,84.19,Particular pagado,Alto,Urbano
22144,COLEGIO PUERTO VARAS,REGION DE LOS LAGOS,PUERTO VARAS,310,CIENTÍFICO-HUMANISTA DIURNO,44,641.5,640,86.03,44,696.6,685,74.49,20,656.5,670,89.25,33,703,700,61.02,44,694.6,698,76.61,44,706.2,705,87.84,Particular pagado,Alto,Urbano
24836,COLEGIO SAN ISIDRO,REGION METROPOLITANA DE SANTIAGO,BUIN,310,CIENTÍFICO-HUMANISTA DIURNO,64,620.8,611,106.96,64,694.7,704.5,92.18,52,604.1,617.5,110.86,39,637.5,629,111.26,64,734.3,753,71.63,64,741.8,760,77.82,Particular pagado,Alto,Urbano
9237,INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,62,650,667,88.84,62,693.8,701.5,71.87,29,651.1,668,99.5,38,677.5,689,81.45,63,739.8,757,76.94,63,746.3,763,82.14,Particular pagado,Alto,Urbano
5812,COLEGIO ALEMAN,REGION DE LA ARAUCANIA,TEMUCO,310,CIENTÍFICO-HUMANISTA DIURNO,52,638.9,647,79.16,52,693.5,689,71.18,22,666.5,688,91.79,34,680.8,666.5,75.72,52,685.5,689,83.55,52,704.3,704,99.25,Particular pagado,Alto,Urbano
25107,COLEGIO MAIMONIDES SCHOOL,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,10,609.1,617.5,80.88,10,689.7,689,57.43,3,651.3,684,105.85,7,663.3,637,75.04,10,747.9,763.5,77.39,10,761.9,777,86.55,Particular pagado,Alto,Urbano
8893,COLEGIO INTERNACIONAL SEK CHILE,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,62,642.8,640,84.64,62,687.7,689,69.83,14,615.9,626.5,95.03,53,670.7,677,71.17,64,709.6,714.5,66.01,64,729.8,736,80.84,Particular pagado,Alto,Urbano
11968,COLEGIO CUMBRES,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,128,646.6,660,86.33,128,687.1,701.5,82.65,85,639,654,94.48,67,661.5,672,92.21,128,738.4,746,60.82,128,744.3,751,65.98,Particular pagado,Alto,Urbano
8995,COLEGIO SANTIAGO COLLEGE,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,116,647.3,647,79.6,116,686.9,689,71.78,57,645.2,644,85.76,66,695.8,695,57.39,117,712,731,80.36,117,719.6,738,86.69,Particular pagado,Alto,Urbano
8998,COLEGIO CAMBRIDGE COLLEGE,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,29,654.3,667,87.44,29,685.6,692,62.25,7,635.1,616,88.83,23,690.1,689,73.42,29,756.8,774,48.7,29,783.1,805,64.09,Particular pagado,Alto,Urbano
9051,COLEGIO ANDREE ENGLISH SCHOOL,REGION METROPOLITANA DE SANTIAGO,LA REINA,310,CIENTÍFICO-HUMANISTA DIURNO,137,637.1,634,93.53,136,685.6,690,90.77,58,642.6,652.5,92.43,93,688,686,85.76,137,745.5,753,66.55,137,748.8,755,69.26,Particular pagado,Alto,Urbano
15576,COLEGIO ARRAYANES,REGION DEL LIB. GRAL. BERNARDO O'HIGGINS,SAN FERNANDO,310,CIENTÍFICO-HUMANISTA DIURNO,27,614.6,611,80.01,27,681.4,683,66.65,19,633.5,644,95.04,19,648.6,636,84.59,27,707.5,724,88.36,27,724.6,740,102.28,Particular pagado,Alto,Urbano
8867,COLEGIO SAN FRANCISCO DE ASIS,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,76,637.4,647,92.08,75,681,678,63.82,56,652.6,657.5,82.56,40,639.3,648,77.08,77,702.3,709,82.39,77,712.8,717,90.92,Particular pagado,Alto,Urbano
24314,COLEGIO CRUZ DEL SUR,REGION DE MAGALLANES,PUNTA ARENAS,310,CIENTÍFICO-HUMANISTA DIURNO,16,615.3,628.5,110.64,16,680.9,646,88.37,11,633.9,619,99.89,10,646.8,637,69.64,16,682.9,669.5,81.74,16,690.6,669.5,92.46,Particular pagado,Alto,Urbano
25452,COLEGIO TREBULCO,REGION METROPOLITANA DE SANTIAGO,TALAGANTE,310,CIENTÍFICO-HUMANISTA DIURNO,46,645.7,637,91.69,46,680.8,684,76,21,624.4,633,59.45,35,639.3,646,81.78,46,698.1,714.5,73.49,46,708,723.5,82.1,Particular pagado,Alto,Urbano
8972,COLEGIO SAN BENITO,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,111,617,617,84.91,111,679,690,87.48,85,622.4,640,90.17,63,641.2,636,81.24,112,741,766,76.78,112,745.1,771,79.92,Particular pagado,Alto,Urbano
8904,COLEGIO SANTA URSULA,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,51,648.5,640,76.56,51,678.9,674,71.5,38,662,672,71.98,25,684.7,683,70.76,51,743.8,757,63.77,51,757.7,772,72.11,Particular pagado,Alto,Urbano
8953,COLEGIO HUELEN,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,57,628.3,617,85.4,57,678.7,676,72.53,40,630.5,631.5,105.94,33,617.3,614,99.77,57,691.3,713,90.18,57,698.8,719,97.3,Particular pagado,Alto,Urbano
24699,COLEGIO MAITENES,REGION METROPOLITANA DE SANTIAGO,MELIPILLA,310,CIENTÍFICO-HUMANISTA DIURNO,23,589.9,595,110.16,23,677.7,678,79.44,17,612.9,633,114.56,14,610,613.5,76.12,23,703.4,713,98.95,23,721.5,730,112.32,Particular pagado,Alto,Urbano
8878,COLEGIO DEL SAGRADO CORAZON DE APOQUINDO,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,79,634,634,82.4,79,677.4,685,80.11,41,643.3,665,75.03,51,666.7,674,77.19,79,748.5,753,57.4,79,755.4,759,62.37,Particular pagado,Alto,Urbano
8869,COLEGIO THE NEWLAND SCHOOL,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,85,636.5,640,78.23,85,676.3,688,78.12,46,626.4,637,95.49,49,669.3,670,70.53,85,715,724,78.67,85,726.8,736,88.14,Particular pagado,Alto,Urbano
8991,COLEGIO PADRE HURTADO Y JUANITA DE LOS ANDES,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,110,634.9,637,86.92,110,676.1,686.5,84.76,50,645.9,647,89.65,72,673.1,681,82.62,111,697.4,713,78.05,111,707.6,723,87.03,Particular pagado,Alto,Urbano
25654,COLEGIO EVEREST,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,176,607.2,606,97.6,176,675.2,690,100.04,131,603.1,619,102.1,92,631.4,651,97.39,177,735.3,753,61.76,177,742.7,761,67.4,Particular pagado,Alto,Urbano
9271,COLEGIO THE KENT SCHOOL,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,54,665.9,650,78.72,54,674.3,678,72.54,26,680,665,72.76,32,689.5,699,67.26,54,707.3,718.5,88.24,54,717.9,726,97.47,Particular pagado,Alto,Urbano
8877,COLEGIO DE LOS SAGRADOS CORAZONES,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,134,632.9,640,83.7,134,673.3,677,78.11,81,618.9,633,91.36,79,661.9,672,73.77,136,705.6,720,75.53,136,717.6,732,83.89,Particular pagado,Alto,Urbano
8917,COLEGIO CRAIGHOUSE,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,100,630.7,634,89.52,99,673.3,669,74.22,39,628.7,623,87.18,66,679.8,677.5,80.85,102,693.1,711,94.43,102,699.9,716.5,100.44,Particular pagado,Alto,Urbano
3204,COLEGIO CONSTITUCION,REGION DEL MAULE,CONSTITUCION,310,CIENTÍFICO-HUMANISTA DIURNO,21,653,653,111.89,21,671.4,683,104.56,7,690.1,712,107.59,16,673,692,114.6,21,751.6,764,82.8,21,757.8,769,87.57,Particular pagado,Alto,Urbano
8992,COLEGIO ALEMAN SANKT THOMAS MORUS,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,53,633.3,634,92.5,53,671.2,662,81.07,14,671,691.5,97.32,42,660.9,661.5,77.74,54,746.1,762.5,66.06,54,761.8,781,77.09,Particular pagado,Alto,Urbano
770,COLEGIO AMALIA ERRAZURIZ,REGION DE COQUIMBO,OVALLE,310,CIENTÍFICO-HUMANISTA DIURNO,40,623.6,625.5,95.42,40,671,652,90.33,16,566.8,585,94.81,29,660.3,693,99.63,40,704.8,722,108.39,40,713.4,728.5,115.59,Particular pagado,Alto,Urbano
25143,COLEGIO SAN FRANCISCO JAVIER DE HUECHURABA,REGION METROPOLITANA DE SANTIAGO,HUECHURABA,310,CIENTÍFICO-HUMANISTA DIURNO,102,636.7,637,82.74,102,670.6,679.5,67.67,52,623.8,640.5,99.28,69,672,671,70.47,103,738.9,753,53,103,747.8,762,58.65,Particular pagado,Alto,Urbano
9071,LICEO AUGUSTO D HALMAR,REGION METROPOLITANA DE SANTIAGO,ÑUÑOA,310,CIENTÍFICO-HUMANISTA DIURNO,97,675.8,667,67.69,97,670.5,676,76.64,42,670.1,672,73.41,67,666.4,663,65.03,98,700.8,709,76.78,98,724,735,89.73,Municipal Corporación,Medio Alto,Urbano
8906,COLEGIO SAINT GEORGE S COLLEGE,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,188,629.7,637,89.87,188,669.6,676,87.7,122,648.2,658,96.58,112,665.3,684,91.09,188,727.9,735,70.35,188,740.1,747,78.86,Particular pagado,Alto,Urbano
8868,COLEGIO LA GIROUETTE,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,52,659.3,667,78.15,52,669.5,683,79.41,27,660.2,651,69.21,33,667.1,667,59.37,53,786.1,785,31.82,53,804.8,805,38.68,Particular pagado,Alto,Urbano
12133,COLEGIO FRANCISCO ENCINA,REGION METROPOLITANA DE SANTIAGO,ÑUÑOA,310,CIENTÍFICO-HUMANISTA DIURNO,22,667.8,671,81.42,22,668.2,675,64.04,9,732.1,737,66.99,14,629.6,619.5,73.75,23,714.3,720,51.62,23,731.3,734,64.78,Particular pagado,Alto,Urbano
9217,COLEGIO AKROS,REGION METROPOLITANA DE SANTIAGO,ÑUÑOA,310,CIENTÍFICO-HUMANISTA DIURNO,39,651.2,647,70.51,39,668.2,667,73.07,20,659.3,652.5,71.86,29,678.1,671,84.91,39,737.5,753,66.54,39,757.4,778,77.01,Particular pagado,Alto,Urbano
3015,COLEGIO PARTICULAR MONTESSORI,REGION DEL MAULE,TALCA,310,CIENTÍFICO-HUMANISTA DIURNO,61,635.5,640,80.54,61,667.9,669,64.31,23,642.4,665,74.16,44,662,657,75.25,63,796.7,801,29.94,63,802.7,807,33.06,Particular pagado,Alto,Urbano
8888,COLEGIO DEL VERBO DIVINO,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,142,644.2,653,94.63,142,667.6,671,86.04,110,658.2,658,90.4,58,653,653.5,70.96,142,672.4,676,69.87,142,685.8,687,81.54,Particular pagado,Alto,Urbano
8903,COLEGIO LINCOLN INTERNATIONAL ACADEMY,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,31,640.6,640,81.13,31,667.5,667,57.52,18,666.2,672,72.77,13,660.1,669,77.81,31,653.1,665,74.32,31,669.7,674,92.89,Particular pagado,Alto,Urbano
8966,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,114,634.2,634,84.29,114,666.4,677,86.87,54,620.4,626,83.55,80,662.6,665.5,67.85,114,718.9,724,57.02,114,729.9,735,65.04,Particular pagado,Alto,Urbano
14498,COLEGIO MONTEMAR,REGION DE VALPARAISO,CON CON,310,CIENTÍFICO-HUMANISTA DIURNO,32,652.1,643.5,82.56,32,666.3,669,99.74,18,691.2,719,86.65,19,696.2,689,87.94,32,696.2,703.5,97.17,32,705.9,710.5,106.28,Particular pagado,Alto,Urbano
2194,INSTITUTO INGLES RANCAGUA,REGION DEL LIB. GRAL. BERNARDO O'HIGGINS,RANCAGUA,310,CIENTÍFICO-HUMANISTA DIURNO,70,619.6,620,93.12,70,666.2,663,80.71,43,633.9,661,96.89,41,653.3,652,77.18,70,684.6,698,92.45,70,696.5,707,103.52,Particular pagado,Alto,Urbano
15521,COLEGIO INGLES SAINT JOHN,REGION DEL LIB. GRAL. BERNARDO O'HIGGINS,RANCAGUA,310,CIENTÍFICO-HUMANISTA DIURNO,53,636.5,634,91.72,53,665.8,651,86.13,15,643.8,626,69.75,41,633.3,623,92.68,53,725.6,742,79.38,53,737.9,754,87.79,Particular pagado,Alto,Urbano
25348,COLEGIO SAN JOSE DE CHICUREO,REGION METROPOLITANA DE SANTIAGO,COLINA,310,CIENTÍFICO-HUMANISTA DIURNO,80,621.5,625.5,89.16,80,664.2,671,87.14,56,608.5,610.5,95.94,41,617.1,623,89.8,80,736.9,760.5,84.91,80,752.7,778.5,95.07,Particular pagado,Alto,Urbano
12265,COLEGIO THE SOUTHERN CROSS SCHOOL,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,36,608.9,628,68.81,36,663.9,664.5,46.01,21,625.2,623,58.66,24,619.3,614,52.07,36,699.6,705.5,74.97,36,708,709,82.78,Particular pagado,Alto,Urbano
7435,COLEGIO ALEMAN,REGION DE LOS LAGOS,PUERTO VARAS,310,CIENTÍFICO-HUMANISTA DIURNO,46,624.6,617,87.91,46,663.7,664,59.57,22,649,644,78.71,29,634.4,624,81.09,47,715.6,742,90.38,47,727.8,754,98.71,Particular pagado,Alto,Urbano
2789,ALIANZA FRANCESA JEAN MERMOZ,REGION DEL MAULE,CURICO,310,CIENTÍFICO-HUMANISTA DIURNO,27,621.1,640,103.69,27,663.2,658,84.53,12,622.9,625,100.07,20,640.4,659.5,127.73,27,679.4,669,89.4,27,682.1,669,92.55,Particular pagado,Alto,Urbano
5266,COLEGIO SAN JOSE,REGION DE LA ARAUCANIA,ANGOL,310,CIENTÍFICO-HUMANISTA DIURNO,26,637.3,646.5,66.77,26,663,664,84.32,18,636.3,623,87.55,20,661.1,659.5,74.22,26,771.4,790,64,26,786.3,809,71.11,Particular pagado,Alto,Urbano
15564,COLEGIO LA CRUZ,REGION DEL LIB. GRAL. BERNARDO O'HIGGINS,MACHALI,310,CIENTÍFICO-HUMANISTA DIURNO,43,590.3,606,118.94,43,662.9,653,118.96,33,589.8,588,107.75,26,626.2,627.5,120.82,43,715.9,724,91.23,43,728.1,730,102.24,Particular pagado,Alto,Urbano
11237,COLEGIO ALEMAN DE SAN FELIPE,REGION DE VALPARAISO,PANQUEHUE,310,CIENTÍFICO-HUMANISTA DIURNO,20,618.5,603,79.71,20,662.1,653.5,54.94,16,632.3,654.5,75.37,10,609.3,598,83.44,20,723.6,716.5,63.39,20,748,740.5,78.78,Particular pagado,Alto,Urbano
8885,COLEGIO REDLAND SCHOOL,REGION METROPOLITANA DE SANTIAGO,LAS CONDES,310,CIENTÍFICO-HUMANISTA DIURNO,50,639.5,650,83.25,50,661.8,667,89.97,24,629.3,638.5,113.66,35,653.5,646,74,52,704.7,696.5,64.39,52,714.4,703.5,73.06,Particular pagado,Alto,Urbano
25278,COLEGIO CAMPANARIO,REGION METROPOLITANA DE SANTIAGO,BUIN,310,CIENTÍFICO-HUMANISTA DIURNO,25,604.5,628,101.56,25,661.3,664,85.06,10,636.2,638.5,123.71,15,652.3,656,87.34,25,723.6,742,67.06,25,729.8,748,72.35,Particular pagado,Alto,Urbano
8919,COLEGIO SAN PEDRO NOLASCO,REGION METROPOLITANA DE SANTIAGO,VITACURA,310,CIENTÍFICO-HUMANISTA DIURNO,66,617.4,608.5,83.58,66,661.1,668,85.75,36,600.1,611,92.23,49,624.1,636,81.68,66,705.6,713,78.56,66,717.5,724,87.18,Particular pagado,Alto,Urbano
16453,COLEGIO ALBORADA,REGION DEL MAULE,LINARES,310,CIENTÍFICO-HUMANISTA DIURNO,30,636.1,634,64.16,29,659.6,660,68.58,10,647.8,643.5,61.54,21,669.2,669,66.29,30,700.9,696.5,64.16,30,740.1,736.5,88.22,Particular pagado,Alto,Urbano
5083,COLEGIO ARAUCO,REGION DEL BIOBIO,ARAUCO,310,CIENTÍFICO-HUMANISTA DIURNO,20,627.4,640,100.6,20,659.1,635.5,72,5,626.8,651,107.62,16,643.8,678,86.32,20,677.7,694.5,75.17,20,697.8,710.5,93.81,Particular pagado,Alto,Urbano
24670,COLEGIO INTERNACIONAL ALBA,REGION METROPOLITANA DE SANTIAGO,MAIPU,310,CIENTÍFICO-HUMANISTA DIURNO,27,674.7,690,78.7,27,658.8,656,78.57,9,631.2,654,69.53,19,669.9,657,72.85,27,787.3,790,27.73,27,798.9,801,36.71,Particular pagado,Alto,Urbano
4687,COLEGIO ALEMAN DE CONCEPCIÓN,REGION DEL BIOBIO,SAN PEDRO DE LA PAZ,310,CIENTÍFICO-HUMANISTA DIURNO,66,624,617,89.55,66,658.8,657,82.48,36,587.9,590,104.23,46,633.4,631,80.76,66,727.7,755,85.96,66,737.1,765.5,93.14,Particular pagado,Alto,Urbano
24927,COLEGIO SAN ANSELMO,REGION METROPOLITANA DE SANTIAGO,COLINA,310,CIENTÍFICO-HUMANISTA DIURNO,122,607.8,617,85.1,122,658.7,680.5,103.19,81,601.2,612,93.54,71,646.3,651,80.27,122,684.4,691,100.91,122,687.2,693,103.51,Particular pagado,Alto,Urbano
14502,COLEGIO CURIMON,REGION DE VALPARAISO,SAN FELIPE,310,CIENTÍFICO-HUMANISTA DIURNO,15,597.7,584,127.34,15,657.7,637,96.48,11,598.9,599,120.28,12,637.7,646,102.61,15,749.3,757,60.9,15,778.1,794,74.32,Particular pagado,Alto,Urbano
8996,COLEGIO SAN IGNACIO EL BOSQUE,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,128,633.3,650,94.33,128,657,668,103.68,83,623.8,651,108.61,76,666.3,690.5,100.42,128,724.8,735,68.11,128,732.5,741,74.73,Particular pagado,Alto,Urbano
11776,COLEGIO THE MAYFLOWER SCHOOL,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,310,CIENTÍFICO-HUMANISTA DIURNO,83,636.3,647,86.43,83,656.5,658,94.3,49,640.9,647,85.37,49,673,676,79.85,84,699.1,716.5,96.02,84,712.1,729,105.53,Particular pagado,Alto,Urbano
25329,COLEGIO SANTA CRUZ DE CHICUREO,REGION METROPOLITANA DE SANTIAGO,COLINA,310,CIENTÍFICO-HUMANISTA DIURNO,70,607.9,623,90.64,70,656,657,99.93,45,596.8,599,97.15,39,630.7,627,96.91,70,747.4,764,72.1,70,753.9,771,76.64,Particular pagado,Alto,Urbano
361,COL. THE ANTOFAGASTA BRITISH SCHOOL,REGION DE ANTOFAGASTA,ANTOFAGASTA,310,CIENTÍFICO-HUMANISTA DIURNO,52,618.4,628,93.71,52,655.9,661,85.3,20,596.8,621,108.08,37,669.2,678,75.14,52,747.3,757,64.5,52,754.2,761,68.03,Particular pagado,Alto,Urbano
8984,COLEGIO TREWHELA´S ENGLISH SCHOOL,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,74,626,620,82.1,74,654.1,660,85.1,22,669.9,666.5,109.32,58,647.5,659,68.01,75,717.1,724,73.92,75,726.5,734,80.41,Particular pagado,Alto,Urbano
19908,GREEN HOUSE SCHOOL,REGION DE LA ARAUCANIA,TEMUCO,310,CIENTÍFICO-HUMANISTA DIURNO,56,618.7,625.5,81.98,56,654.1,672.5,93.14,31,616.9,633,95.07,39,642.5,641,95.39,57,692,691,84.88,57,697.8,694,90.94,Particular pagado,Alto,Urbano
1839,COLEGIO ALEMAN DE VALPARAISO,REGION DE VALPARAISO,VIÑA DEL MAR,310,CIENTÍFICO-HUMANISTA DIURNO,80,625.1,631,94.15,80,653.1,656,82.38,38,644.5,654.5,87.57,45,633.5,642,86.8,81,726.3,742,66.83,81,736.7,753,74.46,Particular pagado,Alto,Urbano
16431,COLEGIO ORCHARD COLLEGE,REGION DEL MAULE,CURICO,310,CIENTÍFICO-HUMANISTA DIURNO,21,613,628,87.78,21,652.8,660,75.52,9,632.2,665,83.67,12,672.8,666,58.02,21,721.2,742,87.72,21,724,742,90.19,Particular pagado,Alto,Urbano
4694,SAINT JOHN´S SCHOOL,REGION DEL BIOBIO,SAN PEDRO DE LA PAZ,310,CIENTÍFICO-HUMANISTA DIURNO,92,622.9,623,91.96,92,652.7,649,115.5,43,617.9,637,97.57,68,637.3,632.5,90.87,94,704.8,709,80.01,94,711.9,713,86.56,Particular pagado,Alto,Urbano
9003,COLEGIO THE ENGLISH INSTITUTE,REGION METROPOLITANA DE SANTIAGO,PROVIDENCIA,310,CIENTÍFICO-HUMANISTA DIURNO,98,644.7,653,101.04,98,652.3,659,86.29,38,641.8,656,107.55,74,653.2,662,75.27,99,744.6,764,64.95,99,756.3,777,72.35,Particular pagado,Alto,Urbano
3720,DEUTSCHE SCHULE CHILLAN,REGION DE ÑUBLE,CHILLAN,310,CIENTÍFICO-HUMANISTA DIURNO,32,611.3,620,79.75,32,652.3,653.5,112.57,9,606.2,592,68.34,26,648.1,665.5,95.89,32,714,722,91.1,32,721.4,725.5,97.3,Particular pagado,Alto,Urbano
9250,COLEGIO CALASANZ,REGION METROPOLITANA DE SANTIAGO,ÑUÑOA,310,CIENTÍFICO-HUMANISTA DIURNO,96,622.8,631,105.99,95,652.2,658,73,43,602.6,619,113.94,69,625.5,624,93.14,97,730,735,69.56,97,742.1,747,77.02,Particular pagado,Alto,Urbano
26311,COLEGIO LINCOLN INTERN ACADEMY VALLE NORTE CHICUREO,REGION METROPOLITANA DE SANTIAGO,COLINA,310,CIENTÍFICO-HUMANISTA DIURNO,19,602.8,617,105.61,19,651.1,671,97.04,9,650.7,704,126.75,10,660.5,678,75.97,20,684.6,694.5,69.44,20,718.8,728.5,95.9,Particular pagado,Alto,Urbano
7415,INSTITUTO ALEMAN DE OSORNO,REGION DE LOS LAGOS,OSORNO,310,CIENTÍFICO-HUMANISTA DIURNO,42,630.2,625.5,76.35,42,650.2,646.5,58.9,22,619.5,628,81.34,29,650.1,645,59.64,42,651.2,643,89.56,42,660,643.5,99.62,Particular pagado,Alto,Urbano
26335,COLEGIO DUNALASTAIR VALLE NORTE,REGION METROPOLITANA DE SANTIAGO,COLINA,310,CIENTÍFICO-HUMANISTA DIURNO,95,607,611,82.04,95,648.9,653,83.01,44,608.1,612.5,94.65,64,655.3,671,76.46,96,742.7,753,66.12,96,743.9,753,67.26,Particular pagado,Alto,Urbano
7717,INSTITUTO ALEMAN DE PUERTO MONTT,REGION DE LOS LAGOS,PUERTO MONTT,310,CIENTÍFICO-HUMANISTA DIURNO,51,630.2,628,79.01,51,648.7,640,66.43,20,649.9,654.5,87.6,32,638.1,646.5,75.92,51,691,691,71.83,51,695.3,691,77.52,Particular pagado,Alto,Urbano
25202,COLEGIO PUMAHUE HUECHURABA,REGION METROPOLITANA DE SANTIAGO,HUECHURABA,310,CIENTÍFICO-HUMANISTA DIURNO,86,604.8,614,81.44,86,648.7,647.5,87.78,32,604.1,600.5,100.77,64,633.6,630.5,86.08,86,721.6,733,78.32,86,732.2,743.5,86.28,Particular pagado,Alto,Urbano
14280,COLEGIO SAGRADA FAMILIA,REGION DE VALPARAISO,VIÑA DEL MAR,310,CIENTÍFICO-HUMANISTA DIURNO,47,618.9,606,76.14,47,648.5,653,91.08,23,644.4,633,83.64,35,640,637,57.61,47,741.4,757,60.02,47,753.6,770,68.12,Particular pagado,Alto,Urbano
