rbd,nombre,región,comuna,cod_edu,rama_edu,total.lectura,promedio.lectura,mediana.lectura,desviación.lectura,total.matemática,promedio.matemática,mediana.matemática,desviación.matemática,total.historia,promedio.historia,mediana.historia,desviación.historia,total.ciencias,promedio.ciencias,mediana.ciencias,desviación.ciencias,total.nem,promedio.nem,mediana.nem,desviación.nem,total.ranking,promedio.ranking,mediana.ranking,desviación.ranking,tipo.dependencia,nivel.socioeconómico,ruralidad
24864,COLEGIO SAN CRISTOBAL DE LAS CASAS,REGION METROPOLITANA DE SANTIAGO,LA FLORIDA,310,CIENTÍFICO-HUMANISTA DIURNO,56,461,470.5,100.09,55,464,456,96.9,28,458.5,453.5,102.22,31,489.7,476,95.9,62,544.4,534,97.92,62,562.2,542,119.03,Particular subvencionado,Medio,Urbano
10873,LICEO MUNICIPAL SARA TRONCOSO TRONCOSO,REGION METROPOLITANA DE SANTIAGO,ALHUE,310,CIENTÍFICO-HUMANISTA DIURNO,23,456.7,453,78.53,23,464,476,90.72,12,499.5,516,82.71,17,442.6,462,106.17,26,625.4,648,82.56,26,656.9,679,107.14,Municipal DAEM,Medio Bajo,Urbano
3719,COLEGIO COYAM,REGION DE ÑUBLE,CHILLAN,310,CIENTÍFICO-HUMANISTA DIURNO,37,454,443,77.41,37,464,466,74.47,14,475.4,467.5,91.13,30,479,496.5,76.59,38,590.5,620.5,103.1,38,611.1,635.5,122.47,Particular subvencionado,Bajo,Urbano
9688,LICEO JUAN GOMEZ MILLAS,REGION METROPOLITANA DE SANTIAGO,EL BOSQUE,410,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL COMERCIAL,7,420.4,395,98.96,6,464,461,40.37,2,570,570,128.69,4,413.8,435.5,69.02,8,526.4,534.5,79.03,8,546.3,541.5,106.19,Municipal DAEM,Bajo,Urbano
9828,COLEGIO SOL DE CHILE,REGION METROPOLITANA DE SANTIAGO,LO ESPEJO,310,CIENTÍFICO-HUMANISTA DIURNO,8,505.5,504,50.13,8,463.9,455,75.7,2,544,544,57.98,6,443,448,56.09,11,485,430,118.24,11,528.5,431,181.99,Particular subvencionado,Medio Bajo,Urbano
25196,PIERRE TEILHARD DE CHARDIN,REGION METROPOLITANA DE SANTIAGO,LA FLORIDA,310,CIENTÍFICO-HUMANISTA DIURNO,51,483.2,483,85.51,51,463.9,466,112.99,20,481,468.5,120.15,33,480.7,501,100.38,56,598.9,587.5,102.79,56,614.1,592,118.97,Particular subvencionado,Medio,Urbano
3639,LICEO NARCISO TONDREAU,REGION DE ÑUBLE,CHILLAN,310,CIENTÍFICO-HUMANISTA DIURNO,45,456.4,468,88.46,45,463.9,456,94.5,25,470.6,457,79.84,34,473.5,496,89.12,57,612.1,615,119.4,57,620.8,618,128.65,Municipal DAEM,Medio Bajo,Urbano
1590,COLEGIO SALESIANO VALPARAISO,REGION DE VALPARAISO,VALPARAISO,510,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL,98,458.8,468,95.96,96,463.8,461,88.81,52,472.8,485,85.54,51,457.5,465,92.63,108,536,532,97.8,108,555.3,541.5,120.51,Particular subvencionado,Medio,Urbano
1674,LICEO BENJAMIN VICUNA MACKENNA,REGION DE VALPARAISO,VIÑA DEL MAR,610,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS,14,443.6,455.5,120.59,14,463.8,508.5,96.97,10,436,424,115.25,5,395,350,101.48,19,606.5,605,67.46,19,663.9,668,103.46,Municipal Corporación,Medio Bajo,Urbano
10385,ESCUELA PART. ADVENTISTA SANTIAGO NORTE,REGION METROPOLITANA DE SANTIAGO,CONCHALI,310,CIENTÍFICO-HUMANISTA DIURNO,29,483.3,478,92.23,30,463.7,480.5,108.39,18,445.2,450,85.01,18,482.3,474,74.67,34,611.1,599,88.45,34,621.2,601,99.57,Particular subvencionado,Medio,Urbano
17658,COLEGIO EINSTEIN,REGION DEL BIOBIO,CONCEPCION,363,CIENTÍFICO-HUMANISTA NOCTURNO,16,463.9,435.5,101.21,15,463.7,466,117.51,11,482.5,503,89.21,7,469,482,76.52,19,577,556,105.35,19,613.6,580,143.31,Particular pagado,Alto,Urbano
22691,LICEO FRANCISCO HERNANDEZ ORTIZ-PIZARRO,REGION DE LOS LAGOS,CALBUCO,310,CIENTÍFICO-HUMANISTA DIURNO,54,460,460.5,95.17,51,463.7,476,90.56,28,481.8,482,111.03,34,443.6,431.5,83.54,63,593.8,593,121.39,63,611.1,608,136.6,Municipal DAEM,Bajo,Urbano
9127,COLEGIO LIKANKURA DE PEÑALOLÉN,REGION METROPOLITANA DE SANTIAGO,PEÑALOLEN,363,CIENTÍFICO-HUMANISTA NOCTURNO,6,394.7,411.5,114.33,6,463.7,474.5,50.37,3,377.7,338,68.7,2,391.5,391.5,60.1,11,442.5,439,121.06,11,447.9,439,129.52,NA,NA,NA
5957,LICEO MUNICIPAL ATENEA,REGION DE LA ARAUCANIA,CUNCO,310,CIENTÍFICO-HUMANISTA DIURNO,95,482.6,473,98.04,95,463.6,476,94.44,64,478,488,95.75,82,475.5,470,91.44,103,628.9,648,115.01,103,645.4,662,129.28,Municipal DAEM,Medio Bajo,Urbano
9637,COLEGIO CHRISTIAN GARDEN SCHOOL,REGION METROPOLITANA DE SANTIAGO,LA GRANJA,610,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL TECNICA Y SERVICIOS,39,472.8,483,71.75,39,463.6,466,83.94,20,470.1,485,62.97,29,431.4,438,69.1,44,612,649.5,90.42,44,647.7,695.5,119.14,Particular subvencionado,Medio Bajo,Urbano
26037,COLEGIO LO BARNECHEA,REGION METROPOLITANA DE SANTIAGO,LO BARNECHEA,510,TÉCNICO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL CO-PROFESIONAL INDUSTRIAL,14,382.1,343,123.74,13,463.6,466,56.06,10,444.3,450,71.57,12,418.8,426,73.93,19,462.5,432,96.89,19,472,432,111.02,Municipal DAEM,Bajo,Urbano
